Ano;Referencia;UF;População prisional_total;Pessoas privadas de liberdade por faixa etaria_18 a 24 anos;pessoas privadas de liberdade por faixa etaria_25 a 29 anos;pessoas privadas de liberdade por faixa etaria_30 a 34 anos;pessoas privadas de liberdade por faixa etaria_35 a 45 anos;pessoas privadas de liberdade por faixa etaria_46 a 60 anos;pessoas privadas de liberdade por faixa etaria_61 a 70 anos;pessoas privadas de liberdade por faixa etaria_Mais de 70 anos;Pessoas privadas de liberdade por cor de pele_Branca;Pessoas privadas de liberdade por cor de pele_Preta;Pessoas privadas de liberdade por cor de pele_Parda;Pessoas privadas de liberdade por cor de pele_Amarela;Pessoas privadas de liberdade por cor de pele_Indigena;Crimes contra o patrimonio | Furto simples (Art. 155) | Total;Crimes contra o patrimonio | Furto qualificado;Crimes contra o patrimonio | Roubo simples (Art. 157);Crimes contra o patrimonio | Roubo qualificado;Crimes contra o patrimonio | Latrocinio;Crimes contra o patrimonio | Extorsao;Crimes contra o patrimonio | Extorsao mediante sequestro;Crimes contra o patrimonio | Apropriacao indebita;Crimes contra o patrimonio | Apropriacao indebita previdenciaria;Crimes contra o patrimonio | Estelionato;Crimes contra o patrimonio | Receptacao;Crimes contra o patrimonio | Receptacao qualificada;Trafico de drogas;Associacao para o trafico;Trafico internacional de drogas
2024;2024/2;AC;199;38.0;70.0;36.0;28.0;12.0;3.0;5.0;15.0;13.0;162.0;2.0;2.0;;;;;;;;;;;;;;;
2024;2024/2;AC;173;24.0;48.0;30.0;45.0;21.0;3.0;2.0;10.0;17.0;143.0;0.0;3.0;;;;;;;;;;;;;;;
2024;2024/2;AC;327;50.0;83.0;58.0;92.0;37.0;5.0;2.0;53.0;37.0;229.0;2.0;6.0;;;;;;;;;;;;;;;
2024;2024/2;AC;350;98.0;104.0;70.0;58.0;13.0;3.0;3.0;41.0;33.0;268.0;0.0;7.0;;;;;;;;;;;;;;;
2024;2024/2;AC;1670;272.0;386.0;297.0;482.0;189.0;20.0;24.0;111.0;84.0;1460.0;0.0;15.0;70.0;70.0;221.0;166.0;10.0;2.0;1.0;0.0;1.0;4.0;41.0;1.0;526.0;11.0;7.0
2024;2024/2;AC;1724;381.0;486.0;357.0;396.0;91.0;12.0;1.0;74.0;83.0;1551.0;4.0;12.0;31.0;48.0;100.0;361.0;23.0;6.0;3.0;;;3.0;17.0;;431.0;;
2024;2024/2;AC;169;28.0;54.0;29.0;40.0;0.0;0.0;0.0;12.0;9.0;140.0;0.0;0.0;0.0;0.0;2.0;12.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;66.0;0.0;2.0
2024;2024/2;AC;1159;181.0;330.0;274.0;285.0;81.0;5.0;3.0;46.0;49.0;1055.0;4.0;5.0;;;45.0;226.0;26.0;2.0;2.0;;;4.0;17.0;1.0;259.0;;
2024;2024/2;AC;86;0.0;11.0;15.0;18.0;6.0;0.0;0.0;11.0;7.0;68.0;0.0;0.0;5.0;0.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;16.0;;
2024;2024/2;AC;25;7.0;11.0;4.0;1.0;2.0;0.0;0.0;1.0;2.0;22.0;0.0;0.0;3.0;2.0;6.0;2.0;;;;;;;2.0;;3.0;0.0;0.0
2024;2024/2;AC;478;88.0;142.0;103.0;96.0;45.0;3.0;1.0;91.0;120.0;257.0;8.0;2.0;44.0;34.0;74.0;19.0;12.0;3.0;5.0;0.0;0.0;4.0;23.0;0.0;99.0;37.0;2.0
2024;2024/2;AC;441;109.0;165.0;89.0;62.0;12.0;2.0;2.0;8.0;38.0;384.0;4.0;7.0;;;;;;;;;;;;;;;
2024;2024/2;AC;803;177.0;230.0;148.0;167.0;65.0;7.0;9.0;59.0;71.0;654.0;11.0;6.0;;;;;;;;;;;;;;;
2024;2024/2;AC;480;125.0;168.0;95.0;66.0;19.0;6.0;1.0;48.0;38.0;376.0;4.0;14.0;6.0;10.0;4.0;38.0;5.0;6.0;0.0;0.0;0.0;2.0;3.0;0.0;141.0;0.0;0.0
2024;2024/2;AC;13;3.0;6.0;1.0;2.0;1.0;0.0;0.0;4.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0
